table,table_title,sequence,column_name,label,data_type,units,minimum,maximum,domain,allowed_values,description
chconsistence,,7,plasticity,Plasticity,Choice,,,,plasticity,Nonplastic: A roll of soil 4cm long x 6mm diameter cannot support itself when held on end. | Slightly plastic: A roll of soil 4cm long x 6mm diameter supports itself when held on end; a 4mm roll does not. | Moderately plastic: A roll of soil 4cm long x 4mm diameter supports itself when held on end; a 2mm roll does not. | Very plastic: A roll of soil 4cm long x 2mm diameter supports itself when held on end.,"The degree to which a puddled, wet soil mass is permanently deformed without rupturing by a slow continuous application of force in any direction. (SSM)"
chconsistence,,8,rvindicator,RV?,Boolean,,,,,,A yes/no field that indicates if a set of descriptors of soil consistence is representative for the horizon.
chconsistence,,9,chkey,Chorizon Key,String,,,,,,The unique identifier of a record in the Horizon table. Use this column to join the Horizon Consistence table to the Horizon table.
chconsistence,,10,chconsistkey,Chorizon Consistence Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Consistence table.
chdesgnsuffix,,1,desgnsuffix,Suffix,Choice,,,,horz_desgn_letter_suffix,"a: Highly decomposed organic matter. This symbol is used with O to indicate the most highly decomposed organic materials, which have a fiber content of less than 17 percent (by volume) after rubbing. | b: Buried genetic horizon. This symbol is used in mineral soils to indicate identifiable buried horizons with major genetic features that were developed before burial. Genetic horizons may or may not have formed in the overlying material, which may be either like or unlike the assumed parent material of the buried soil. This symbol is not used in organic soils, nor is it used to separate an organic layer from a mineral layer. | c: Concretions or nodules. This symbol indicates a significant accumulation of concretions or nodules. Cementation is required. The cementing agent commonly is iron, aluminum, manganese, or titanium. It cannot be silica, dolomite, calcite, or more soluble salts. | ca: An accumulation of carbonates. | co: Coprogenous Earth. This symbol, used only with L, indicates a limnic layer of coprogenous earth (or sedimentary peat). | d: Physical root restriction. This symbol indicates noncemented, root-restricting layers in naturally occurring or human-made sediments or materials. Examples are dense basal till, plowpans, and other mechanically compacted zones. | di: Diatomaceous earth. This symbol, used only with L, indicates a limnic layer of diatomaceous earth. | e: Organic material of intermediate decomposition. This symbol is used with O to indicate organic materials of intermediate decomposition. The fiber content of these materials is 17 to 40 percent (by volume) after rubbing. | f: Frozen soil or water. This symbol indicates that a horizon or layer contains permanent ice. The symbol is not used for seasonally frozen layers or for dry permafrost. | ff: Dry permafrost. Used in layers or horizons that are colder than 0 degrees C, but do not contain ice. It is not used for layers or horizons that have seasonal temperatures below 0 degrees C. The f suffix is used for layers or horizons that contain permanent ice. | g: Strong gleying. This symbol indicates either that iron has been reduced and removed during soil formation or that saturation with stagnant water has preserved it in a reduced state. Most of the affected layers have chroma of 2 or less, and many have redox concentrations. The low chroma can represent either the color of reduced iron or the color of uncoated sand and silt particles from which iron has been removed. The symbol g is not used for materials of low chroma that have no history of wetness, such as some shales or E horizons. If g is used with B, pedogenic change in addition to gleying is implied. If no other pedogenic change besides gleying has taken place, the horizon is designated Cg. | h: Illuvial accumulation of organic matter. This symbol is used with B to indicate the accumulation of illuvial, amorphous, dispersible complexes of organic matter and sesquioxides if the sesquioxide component is dominated by aluminum but is present only in very small quantities. The organo-sesquioxide material coats sand and silt particles. In some horizons these coatings have coalesced, filled pores, and cemented the horizon. The symbol h is also used in combination with s as ""Bhs"" if the amount of the sesquioxide component is significant but the color value and chroma, moist, of the horizon are 3 or less. | i: Slightly decomposed organic material. This symbol is used with O to indicate the least decomposed of the organic materials. The fiber content of these materials is 40 percent or more (by volume) after rubbing. | j: Indicates an accumulation of jarosite. Jarosite is a potassium (ferric) iron hydroxy sulfate mineral (KFe3(SO4)2(OH)6) that is commonly an alteration product of pyrite that has been exposed to an oxidizing environment. Jarosite has hue of 2.5Y or yellower and normally has chroma of 6 or more, although chroma as low as 3 or 4 have been reported. It forms in preference to iron (hydr)oxides in active acid sulfate soils at pH of 3.5 or less and can be stable in post-active acid sulfate soils for long periods of time at higher pH. | jj: Evidence of cyroturbation. Evidence of cryoturbation includes irregular and broken horizon boundaries, sorted rock fragments, and organic soil materials occurring as bodies and broken layers within and/or between mineral soil layers. The organic bodies and layers are most commonly at the contact between the active layer and the permafrost. | k: Accumulation of secondary carbonates. This symbol indicates an accumulation of visible pedogenic calcium carbonate (less than 50 percent, by volume). Carbonate accumulations occur as carbonate filaments, coatings, masses, nodules, disseminated carbonate, or other forms. | kk: Engulfment of horizon by secondary carbonates. This symbol indicates major accumulations of pedogenic calcium carbonate. The suffix kk is used when the soil fabric is plugged with fine grained pedogenic carbonate (50 percent or more, by volume) that occurs as an essentially continuous medium. The suffix corresponds to the stage III plugged horizon or higher of the carbonate morphogenetic stages (Gile et al., 1966). | m: Cementation or induration. This symbol indicates continuous or nearly continuous cementation. It is used only for horizons that are more than 90 percent cemented, although they may be fractured. The cemented layer is physically root-restrictive. The predominant cementing agent (or the two dominant ones) may be indicated by adding defined letter suffixes, singly or in pairs. The horizon suffix kkm (and less commonly km) indicates cementation by carbonates; qm, cementation by silica; sm, cementation by iron; yym, cementation by gypsum; kqm, cementation by carbonates and silica; and zm, cementation by salts more soluble than gypsum. | ma: Marl. This symbol, used only with L, indicates a limnic layer of marl. | n: Accumulation of sodium. This symbol indicates an accumulation of exchangeable sodium. | o: This symbol indicates a residual accumulation of sesquioxides. | p: Tillage or other disturbance. This symbol indicates a disturbance of the surface layer by mechanical means, pasturing, or similar uses. A disturbed organic horizon is designated Op. A disturbed mineral horizon is designated Ap even though it is clearly a former E, B, or C horizon. | q: Accumulation of silica. This symbol indicates an accumulation of secondary silica. | r: Weathered or soft bedrock. This symbol is used with C to indicate layers of bedrock that are moderately cemented or less cemented. Examples are weathered igneous rock and partly consolidated sandstone, siltstone, or shale. The excavation difficulty is low to high. | s: Illuvial accumulation of sesquioxides and organic matter. This symbol is used with B to indicate an accumulation of illuvial, amorphous, dispersible complexes of organic matter and sesquioxides if both the organic matter and sesquioxide components are significant and if either the color value or chroma, moist, of the horizon is 4 or more. The symbol is also used in combination with h as ""Bhs"" if both the organic matter and sesquioxide components are significant and if the color value and chroma, moist, are 3 or less. | se: This symbol indicates the presence of sulfides in mineral or organic horizons. Horizons with sulfides typically have dark colors (e.g. value 4, chroma 2). These horizons typically form in soils associated with coastal environments that are permanently saturated or submerged (i.e., tidal marshes or estuaries). Soil materials which have sulfidization actively occurring emanate hydrogen sulfide gas which is detectable by its odor (Fanning and Fanning, 1989, or Fanning et al., 2002). Sulfides may also occur in upland environments that have a source of sulfur to form sulfides. Soils in such environments are often of geologic origin and may not produce a hydrogen sulfide odor. Examples include soils formed in parent materials derived from coal deposits such as lignite or soils formed in coastal plain deposits such as glauconite that have not been oxidized because of thick layers of overburden. | ss: Presence of slickensides. This symbol indicates the presence of slickensides. Slickensides result directly from the swelling of clay minerals and shear failure, commonly at angles of 20 to 60 degrees above horizontal. They are indicators that other vertic characteristics, such as wedge-shaped peds and surface cracks, may be present. | t: Accumulation of silicate clay. This symbol indicates an accumulation of silicate clay that has either formed and subsequently been translocated within the horizon or has been moved into the horizon by illuviation, or both. At least some part of the horizon should show evidence of clay accumulation either as coatings on surfaces of peds or in pores, or as lamellae or as bridges between mineral grains. | u: Presence of human-manufactured materials (artifacts). This symbol indicates the presence of manufactured artifacts that have been created or modified by humans, usually for a practical purpose in habitation, manufacturing, excavation, or construction activities. Examples of artifacts are processed wood products, liquid petroleum products, coal combustion by-products, asphalt, fibers and fabrics, bricks, cinder blocks, concrete, plastic, glass, rubber, paper, cardboard, iron and steel, altered metals and minerals, sanitary and medical waste, garbage, and landfill waste. | v: Plinthite. This symbol indicates the presence of iron-rich, humus-poor, reddish material that is firm or very firm when moist and is less than strongly cemented. It hardens irreversibly when exposed to the atmosphere and to repeated wetting and drying. | w: Development of color or structure. This symbol is used only with B to indicate the development of color or structure, or both, with little or no apparent illuvial accumulation of material. It should not be used to indicate a transitional horizon. | x: Fragipan character. This symbol indicates a genetically developed layer that has a combination of firmness, brittleness, and commonly a higher bulk density than adjacent layers. Some part of the layer is physically root-restrictive. | y: Accumulation of gypsum. This symbol indicates a gypsum accumulation. The suffix y is used when the horizon fabric is dominated by soil particles or minerals other than gypsum. Gypsum is present in amounts that do not significantly obscure or disrupt other features of the horizon. | yy: Dominance of horizon by gypsum. This symbol indicates a horizon that is dominated by the presence of gypsum. The gypsum content may be due to an accumulation of secondary gypsum, the transformation of primary gypsum inherited from parent material, or other processes. Suffix yy is used when the horizon fabric has such an abundance of gypsum (generally 50 percent or more, by volume) that pedogenic and/or lithologic features are obscured or disrupted by growth of gypsum crystals. Colors associated with horizons that use suffix yy are typically highly whitened with value of 7 through 9.5 and chroma of 2 or less. | z: Accumulation of salts more soluble than gypsum. This symbol indicates an accumulation of salts that are more soluble than gypsum.","One of the four kinds of symbols, that when concatenated, are used to distinguish different kinds of layers in soils. Letter suffixes are used to designate subordinate distinctions within master horizons, and layers using lowercase letters. (SSM)"
chdesgnsuffix,,2,chkey,Chorizon Key,String,,,,,,The unique identifier of a record in the Horizon table. Use this column to join the Horizon Designation Suffix table to the Horizon table.
chdesgnsuffix,,3,chdesgnsfxkey,Chorizon Designation Suffix Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Designation Suffix table.
chfrags,Horizon Fragments,1,fragvol_l,Vol % - Low Value,Integer,percent,0.00,100.00,,,"The volume percentage of the horizon occupied by the 2 mm or larger fraction (20 mm or larger for wood fragments), on a whole soil base."
chfrags,Horizon Fragments,2,fragvol_r,Vol % - Representative Value,Integer,percent,0.00,100.00,,,"The volume percentage of the horizon occupied by the 2 mm or larger fraction (20 mm or larger for wood fragments), on a whole soil base."
chfrags,Horizon Fragments,3,fragvol_h,Vol % - High Value,Integer,percent,0.00,100.00,,,"The volume percentage of the horizon occupied by the 2 mm or larger fraction (20 mm or larger for wood fragments), on a whole soil base."
